brand,channel,country,sku,product,cm_source,months_active,last_sale_month,net_sales_l3m,net_sales_p3m,net_sales_l6m,cm1_l6m,cm2_l6m,cm3_l6m,ad_spend_l6m,cm3_p6m,net_sales_p6m,net_sales_ttm,cm3_ttm,net_sales_l2m,neg_cm3_months,cm_months_l6m,cm3_pct_l6m,cm3_pct_p6m,cm1_pct_l6m,cm2_pct_l6m,cm3_improving_pp,sales_trend_pct,launch_month,censored,source,age_months,vol_tier,margin_tier,cluster,cm3_target,verdict,reasons,review_month,manual
Vegavero,Shopify,WEB,VV-VITA-306,VALERIANA BIO Vegavero® | 500 mg di estratto ,none,1,2024-07,,,,,,,,,,,,,0,0,,,,,,,2024-07,True,first-sale proxy,23.0,,,,24.30494285714286,No data,fewer than 3 months with sales,2026-06,False
Vegavero,Shopify,WEB,VV-VITA-307,VV-VITA-307,estimated,15,2026-06,539.36,389.86,929.22,686.4,434.74482,147.4073395052156,287.33748049478436,27.77402169838809,282.28,1211.5,175.18136120360367,403.39,0,6,15.863556478037019,9.839174471584275,73.8684057596694,46.78599470523665,6.024382006452743,38.347098958600526,2024-07,True,first-sale proxy,23.0,3,1,1-3,24.30494285714286,Fix,CM3% 15.9 vs target 24.3; margin improving (+6.0pp),2026-06,False
Vegavero,Shopify,WEB,VV-VITA-308,VV-VITA-308,estimated,22,2026-06,679.03,2560.6899999999996,3239.72,2058.62,1564.5653199999997,543.8631150921018,1020.7022049078979,790.2475486361229,2798.21,6037.93,1334.1106637282246,623.34,1,5,16.78734937254151,28.241180920521437,63.54314570394972,48.29322657513612,-11.453831547979927,-73.48253790970402,2024-07,True,first-sale proxy,23.0,1,1,1-1,24.30494285714286,Fix,CM3% 16.8 vs target 24.3,2026-06,False
Vegavero,Shopify,WEB,VV-VITA-31,VV-VITA-31,estimated,24,2026-06,954.25,1180.19,2134.44,2134.44,1798.5856399999998,1164.6742921793793,633.9113478206206,1062.6290918231662,3320.63,5455.07,2227.3033840025455,343.20000000000005,0,6,54.56580143641327,32.00082790985946,100.0,84.26498941174265,22.564973526553807,-19.144375058253335,2024-07,True,first-sale proxy,23.0,2,1,1-2,24.30494285714286,Watch,between target and broken - no trigger fired,2026-06,False
Vegavero,Shopify,WEB,VV-VITA-310,VV-VITA-310,estimated,22,2026-06,1850.52,2642.46,4492.98,3333.3599999999997,2677.64338,1247.5504041655445,1430.0929758344555,478.9871320717411,1743.26,6236.24,1726.5375362372854,1275.69,0,6,27.766658301740595,27.476517104261045,74.19040369643311,59.596156225934685,0.29014119747954936,-29.969800867373586,2024-07,True,first-sale proxy,23.0,1,1,1-1,24.30494285714286,Defend,"top seller at target margin, momentum negative",2026-06,False
Vegavero,Shopify,WEB,VV-VITA-311,VV-VITA-311,estimated,24,2026-06,2237.6,2867.67,5105.2699999999995,3455.79,2274.4398699999997,732.1931504844804,1542.2467195155195,768.5240624523123,3603.14,8708.41,1500.7172129367925,1472.26,0,6,14.34190846878775,21.329286745791514,67.69064123934679,44.55082434425603,-6.987378277003764,-21.971496022903615,2024-07,True,first-sale proxy,23.0,1,2,2-1,24.30494285714286,Fix,CM3% 14.3 vs target 24.3,2026-06,False
Vegavero,Shopify,WEB,VV-VITA-312,Vegavero Red Yeast Rice Capsules | Cholestero,none,6,2024-12,,,,,,,,,,,,,0,0,,,,,,,2024-07,True,first-sale proxy,23.0,,,,24.30494285714286,No data,no margin data for this market,2026-06,False
Vegavero,Shopify,WEB,VV-VITA-313,VV-VITA-313,estimated,24,2026-06,2244.66,902.7,3147.36,2193.81,1531.7601599999998,219.17225267783203,1312.587907322168,508.22576671078326,2729.32,5876.68,727.3980193886152,1610.84,3,6,6.9636855230361965,18.6209666404373,69.70317980783895,48.66809516547201,-11.657281117401102,148.66068461282816,2024-07,True,first-sale proxy,23.0,2,2,2-2,24.30494285714286,Fix,CM3% 7.0 vs target 24.3,2026-06,False
Vegavero,Shopify,WEB,VV-VITA-314,VV-VITA-314,estimated,24,2026-06,5101.54,3131.88,8233.42,6452.42,4319.73502,2904.585816575659,1415.149203424341,790.6072429733015,2617.7,10851.119999999999,3695.1930595489603,3620.48,0,6,35.277998894452836,30.202362492772338,78.36864875106578,52.46586497470067,5.075636401680498,62.89065992311327,2024-07,True,first-sale proxy,23.0,1,1,1-1,24.30494285714286,Scale,"CM3% 35.3 >= target, sales +63% 3m",2026-06,False
Vegavero,Shopify,WEB,VV-VITA-316,VV-VITA-316,estimated,23,2026-06,1076.6399999999999,390.59000000000003,1467.23,910.75,680.8726300000001,50.21587722482947,630.6567527751705,133.25475434117118,1029.15,2496.38,183.47063156600063,727.3499999999999,2,6,3.4224952614674913,12.948040066187744,62.07274933037083,46.40531000592954,-9.525544804720253,175.6445377505824,2024-07,True,first-sale proxy,23.0,2,3,3-2,24.30494285714286,Fix,CM3% 3.4 vs target 24.3,2026-06,False
