sku,asin,totalFbaAvailablePool,totalFbaIncomingPool,salesVelocity,daysOfInventory,projectedDaysOfInventory,oosRiskFlag,totalUnits30d
VV-VITA-222,B08QVYP7YH,1203,360,41.0246,31.4689,40.2441,False,1355
VV-VITA-50,B01FFWYJV8,189,0,6.7357,31.6225,31.6225,True,156
VV-VITA-31,B01BNV0IUQ,79,0,2.7246,31.9315,31.9315,True,91
VV-VITA-308,B0B6WGC16M,219,0,7.1691,32.2217,32.2217,True,213
VV-VITA-124,B07F14GMP2,325,144,11.5394,32.2373,44.7162,False,382
VV-VITA-297,B09ZDLZXDM,69,0,2.3021,32.579,32.579,True,56
VV-VITA-287,B09TJTTP84,496,600,17.0246,32.5999,67.8429,False,517
VV-VITA-174,B087JTHDN1,113,0,3.6541,32.8399,32.8399,True,116
VV-VITA-223,B08QVWRHP2,599,0,19.6779,32.8796,32.8796,True,626
VV-VITA-243,B094R1JQ6K,1921,960,63.9192,32.9479,47.9668,False,1938
VV-VITA-319,B0BMQTBYKT,26,0,0.7874,33.0195,33.0195,True,23
VV-VITA-224,B08VX84KW4,157,0,5.4999,33.0913,33.0913,True,88
VV-VITA-284,B09TJXDWKF,275,60,8.9617,33.3642,40.0594,False,271
VV-VITA-208,B08JC9XBGM,99,0,3.4417,33.4135,33.4135,True,116
VV-VITA-129,B07J5M5PZW,34,0,1.0335,33.8666,33.8666,True,29
VV-VITA-197,B08DDBGBZG,58,0,1.9059,34.1049,34.1049,True,44
VV-VITA-63,B01G7428BG,131,90,4.2682,34.2066,55.2928,False,133
VV-VITA-320,B0BMQXCX1X,1254,0,39.3239,34.6354,34.6354,True,1203
VV-VITA-39,B01D3FVKBG,1584,0,48.4292,35.1234,35.1234,False,1528
VV-VITA-166,B085YDYWV8,134,48,4.2617,35.1972,46.4603,False,141
VV-VITA-405,B0FLQR7VB1,192,1,5.8222,35.2101,35.3818,False,300
VV-VITA-57-V,B07PM7B4NK,202,0,6.233,35.4564,35.4564,False,199
VV-VITA-248,B096W2GHQV,850,400,25.6147,35.4875,51.1036,False,766
VV-VITA-46,B01CYDY6TQ,563,0,17.0194,35.6652,35.6652,False,479
VV-VITA-155,B081TJ62WV,413,255,12.8118,35.8265,55.73,False,309
VV-VITA-86,B06XR9VG7N,0,240,0.0278,35.9722,8669.3054,False,3
VV-VITA-391,B0DXFV5SYV,46,0,1.2761,36.0479,36.0479,False,30
VV-VITA-259,B09C6FWGJR,308,0,9.3517,36.5708,36.5708,False,280
VV-VITA-369,B0D63B1QGN,84,0,2.4489,36.7509,36.7509,False,71
VV-VITA-396,B0FDBDWDL2,179,0,4.9668,36.8446,36.8446,False,121
VV-VITA-381,B0DGGWX7WN,130,0,3.7114,36.9128,36.9128,False,50
VV-VITA-295,B09XBMWYVC,376,0,10.8362,37.0057,37.0057,False,372
VV-VITA-316,B0BK8W6JM3,611,3,18.2664,37.0626,37.2269,False,512
VV-VITA-366,B0D47FKGDD,80,0,2.5047,37.1296,37.1296,False,48
VV-VITA-274,B09M6TM2BD,325,0,9.2761,37.4079,37.4079,False,266
VV-VITA-158,B081TDP6YF,52,48,1.5503,37.4127,68.3749,False,42
VV-VITA-368,B0D63B2G5N,111,21,3.1066,37.6616,44.4213,False,120
VV-VITA-38,B01D3FVKWA,267,232,7.5249,37.7412,68.5721,False,257
VV-VITA-392,B0F44795N1,536,0,14.9505,37.7913,37.7913,False,535
VV-VITA-206,B08JCRVJX7,339,0,10.0298,37.887,37.887,False,295
VV-VITA-367,B0D638JD41,295,0,7.9914,38.2913,38.2913,False,222
VV-VITA-353,B0CMXQYZ4S,306,1,8.4786,38.5675,38.6854,False,266
